id,packageName,owner,repo,dependencies
1664,msgui,lgatto,msGUI,,mzR;MSnbase;methods;png;gWidgets;gWidgetsRGtk2;cairoDevice;
1665,shinyjs,daattali,shinyjs,,digest;htmltools;shiny;stats;knitr;rmarkdown;testthat;V8;
1666,simmr,andrewcparnell,simmr,,rjags;ggplot2;MASS;compositions;boot;reshape2;coda;graphics;stats;viridis;knitr;
1667,rmonkey,cloudyr,Rmonkey,,stats;utils;httr;jsonlite;curl;plyr;
1668,bvenn,raivokolde,bvenn,,grid;
1669,surveytools2,peterhurford,surveytools2,,dplyr;purrr;testthat;testthatsomemore;knitr;microbenchmark;
1670,circlepacker,jeromefroe,circlepackeR,,htmlwidgets;data.tree;treemap;testthat;
1671,churnsmoke,juaneschutte,ChurnSmoke,,
1672,testocpu2,moosilauke18,testOCPU2,,ggplot2;
1673,neuropls,bbuchsbaum,neuropls,,graphics;grid;stats;assertthat;methods;irlba;corpcor;plyr;FactoMineR;parallel;caret;fields;sda;
1674,spectral,PranaGeo,Spectral,,methods;rgdal;spacetime;
1675,deployrutils,deployr,deployrUtils,,testthat;
1676,deployrutils,swells,deployrUtils,,testthat;
1677,alignstat,TS404,AlignStat,,Rcpp;seqinr;ggplot2;reshape2;Rcpp;testthat;
1678,climmob,BioversityCostaRica,ClimMob,,psychotools;gWidgets2;R.oo;partykit;utils;stringi;rtf;gWidgets2tcltk;qvcalc;Formula;sandwich;
1679,conop9companion,plannapus,CONOP9companion,,methods;
1680,berate,hrbrmstr,berate,,testthat;xml2;rvest;
1681,superranker,tagteam,SuperRanker,,Rcpp;Rcpp;
1682,soilsecuritylab,spadarian,soilsecuritylab,,RcppArmadillo;methods;DEoptim;Rcpp;RcppArmadillo;Rcpp;RcppArmadillo;
1683,dspackage2812,fermaat,dspackage2812,,dplyr;
1684,polysat,lvclark,polysat,,methods;stats;utils;combinat;ade4;adegenet;ape;
1685,videoplayr,swarm-lab,videoplayR,,Rcpp;RcppArmadillo;methods;Rcpp;RcppArmadillo;pbapply;plotrix;knitr;Rcpp;RcppArmadillo;
1686,abodoutlier,hawk31,abodoutlier,,cluster;
1687,belgiummaps.admin,jwijffels,BelgiumMaps.Admin,,stringi;sp;knitr;
1688,qtlhot,byandell,qtlhot,,stats;qtl;lattice;corpcor;mnormt;
1689,compressk,henryrscharf,IAthresh,,wavethresh;scales;
1690,compressk,henryrscharf,compressK,,wavethresh;scales;
1691,ajfisher,aaronjfisher,ajfisher,,colorspace;plotrix;MASS;
1692,flowtyper,timelyportfolio,flowtypeR,,
1693,rlgi,wvengen,Rlgi,,snow;RCurl;XML;
1694,rawmisc,raubreywhite,RAWmisc,,data.table;tidyr;magrittr;grid;stringr;R6;ggplot2;dplyr;gridExtra;knitr;knitcitations;bibtex;rmarkdown;brew;scales;Hmisc;Gmisc;htmlTable;ggvis;Formula;roxygen2;packrat;rms;survey;miniCRAN;tools;maptools;MatrixModels;devtools;readxl;
1695,argparse,trevorld,argparse,,proto;findpython;getopt;rjson;knitr;testthat;
1696,deepsnv,mg14,deepSNV,,Rhtslib;methods;graphics;parallel;Rhtslib;IRanges;GenomicRanges;SummarizedExperiment;Biostrings;VGAM;VariantAnnotation;Rhtslib;RColorBrewer;knitr;
1697,deepsnv,mg14,deepSNV-old,,Rhtslib;methods;graphics;parallel;Rhtslib;IRanges;GenomicRanges;SummarizedExperiment;Biostrings;VGAM;VariantAnnotation;Rhtslib;RColorBrewer;knitr;
1698,zcss,nfultz,zcss,,magrittr;
1699,gibbonsecr,dkidney,gibbonsecr,,Rcpp;RcppArmadillo;CircStats;dplyr;MASS;methods;mgcv;parallel;raster;Rcpp;sp;secr;stats;stringr;tcltk;tcltk2;tools;utils;knitr;testthat;
1700,r.devices.rgl,HenrikBengtsson,R.devices.rgl,,R.methodsS3;R.oo;R.utils;R.devices;rgl;R.rsp;
1701,tests4,ThierryO,testS4,,git2r;methods;
1702,lymphclon,liuyipei,lymphclon,,MASS;expm;corpcor;
1703,ncbiapi,YulongNiu,NCBI_API,,ParaMisc;RCurl;xml2;doParallel;foreach;
1704,grtools,fsotoc,grtools,,Rcpp;numDeriv;MASS;Rcpp;
1705,filetools,jtoll,fileTools,,RCurl;RJSONIO;
1706,varnastats,nevrome,varnastats,,dplyr;magrittr;igraph;corrplot;MASS;ca;rapport;reshape2;testthat;knitr;
1707,upipe,noamross,upipe,,magrittr;
1708,emparplot,dmw12,emparplot,,gplots;
1709,exhibit,merlinoa,exhibit,,ChainLadder;xtable;knitr;
1710,packageloader,d-bohn,packageLoader,,
1711,packageloader,jeffreyat,packageloader,,knitr;
1712,rsyntax,vanatteveldt,rsyntax,,igraph;reshape2;plyr;colorspace;
1713,mgcvtrans,jgellar,mgcvTrans,,mgcv;
1714,whassocr,thom82,whassocr,,dplyr;knitr;rmarkdown;testthat;
1715,modedad,amarent,modedad,,
1716,ddst,pbiecek,ddst,,orthopolynom;evd;
1717,gghorizon,thomaskern,ggHorizon,,ggplot2;plyr;RColorBrewer;proto;
1718,splatr,barryrowlingson,splatr,,plyr;
1719,zcta,jjchern,zcta,,
1720,proportion,RajeswaranV,proportion,,TeachingDemos;ggplot2;knitr;rmarkdown;
1721,ffbw,kn3in,ffbw,,ff;testthat;
1722,rstripe,Gastrograph,rstripe,,jsonlite;RCurl;httr;
1723,hillr,daijiang,hillR,,FD;plyr;
1724,analyzemoistureinsuperslab,ecor,AnalyzeMoistureinSuperslab,,geotopbricks;soilwater;rgdal;stringr;raster;soilwater;
1725,funsforlu,steveped,funsForLu,,
1726,gridr,alexstorer,GridR,,codetools;
1727,gridr,floswald,gridR,,evd;knitr;
1728,indicatorsforfisheries,juldebar,IRDTunaAtlas,,pryr;repmis;rworldmap;XML;ggplot2;rgdal;RCurl;RColorBrewer;plyr;mapdata;rgeos;maps;mapplots;ncdf;sp;fpc;rCharts;base64enc;cowplot;grid;plotly;methods;
1729,htgpackage,rocrat,HTGPackage,,
1730,ffbr,mndrake,ffbR,,XML;dplyr;stringr;httr;RJSONIO;data.table;
1731,strat,mhermans,strat,,
1732,rdocr,barryrowlingson,rdocr,,rjson;httr;
1733,toponto,hxin,topOnto,,graph;Biobase;AnnotationDbi;SparseM;methods;globaltest;hgu133a.db;ALL;topOnto.HDO.db;knitr;rmarkdown;multtest;lattice;Rgraphviz;
1734,rldm,sgreenlee,rLDM,,
1735,s4intro,kmob,s4_intro,,
1736,modistools,seantuck12,MODISTools,,RCurl;XML;
1737,plethydata,dbottomly,plethyData,,
1738,minutiaer,dterror,minutiaer,,RJDBC;RPostgreSQL;testthat;
1739,ropenaire,njahn82,ropenaire,,httr;XML;dplyr;testthat;knitr;
1740,oilabs,andrewpbray,oilabs,,ggplot2;HistData;
1741,flbrp,flr,FLBRP,,FLCore;FLash;ggplotFL;plyr;reshape;FLash;
1742,getdnds,andymckenzie,evoDnDs,,biomaRt;
1743,gpm,environmentalinformatics-marburg,gpm,,caret;gridExtra;impute;latticeExtra;raster;satellite;plyr;dplyr;tools;testthat;knitr;
1744,gpt,xiaoyulu2014,GPT,,Matrix;mvtnorm;MASS;magic;psych;plyr;plot3D;rTensor;spam;
1745,pickurl,mvkorpel,pickURL,,testthat;withr;
1746,egtheme,austinclemens,egtheme,,
1747,lucifr,dpressel,lucifR,,rJava;
1748,phenability,leocbc,phenability,,calibrate;
1749,dots,lcolladotor,dots,,devtools;knitcitations;knitr;knitrBootstrap;rmarkdown;testthat;
1750,tdc_tools,mehdirifai,TDC,,
1751,cssp,chandlerzuo,cssp,,methods;splines;stats;utils;testthat;
1752,taggart,einarhjorleifsson,taggart,,dplyr;DBI;dplyrOracle;ROracle;
1753,rexercise,yitang,RExercise,,ggmap;data.table;plotKML;sp;
1754,imagine,ampaho,imagine,,
1755,plspm2,gastonstat,plspm2,,amap;diagram;tester;turner;plsdepot;FactoMineR;testthat;
1756,marxan,paleo13,marxan,,sp;rgdal;raster;Rcpp;plyr;gdalUtils;shape;ape;fastcluster;PBSmapping;RgoogleMaps;testthat;data.table;doSNOW;knitr;rmarkdown;RColorBrewer;scales;vegan;Rcpp;testthat;
1757,scottish.capital,corybrunson,scottish.capital,,igraph;
1758,gpa,dongjunchung,GPA,,methods;graphics;Rcpp;gpaExample;Rcpp;
1759,d3waffler,jbkunst,d3waffler,,
1760,exppca,krisrs1128,expPCA,,
1761,cellranger,jennybc,cellranger,,covr;testthat;
1762,gpe,goldingn,gpe,,testthat;fields;RColorBrewer;
1763,ustyc,mrbcuda,ustyc,,XML;plyr;xts;lattice;
1764,rosettaanalysis,weitzner,rosettaAnalysis,,dplyr;lazyeval;cowplot;rjson;RSQLite;scales;
1765,table1,emwozniak,Table1,,xtable;htmlTable;survival;
1766,table1,renlund,table1,,broom;testthat;
1767,rcip1,sofilibi,rcip1,,
1768,kappav,vbonhomme,KappaV,,PresenceAbsence;maptools;rgeos;sp;
1769,bmisc,AEBilgrau,Bmisc,,Rcpp;GMCM;utils;adephylo;igraph;Rcpp;RcppArmadillo;glasso;WGCNA;Biobase;BiocGenerics;biomaRt;digest;Rgraphviz;gRbase;graph;SNPchip;oligoClasses;ape;Hmisc;
1770,crtests,sjoerdvds,crtests,,caret;plyr;stringr;testthat;knitr;e1071;randomForest;rpart;
1771,tumblr,AndreaCapozio,tumblR,,httr;RCurl;ROAuth;
1772,tumblr,klapaukh,tumblR,,httr;jsonlite;ROAuth;
1773,yapomif,lbraglia,yapomif,,RODBC;survival;bdpv;pROC;openxlsx;knitr;xtable;testthat;
1774,rquery,jamiefolson,rQuery,pkg,XML;selectr;methods;XML;selectr;
1775,cancertiming,epurdom,cancerTiming,,GenomicRanges;IRanges;utils;stats;grDevices;graphics;LearnBayes;gplots;
1776,awaptools,swish-climate-impact-assessment,awaptools,,raster;
1777,ncctools,dcmuller,ncctools,,survival;Epi;data.table;
1778,metacoder,grunwaldlab,metacoder,,stringr;ggplot2;igraph;scales;grid;taxize;plyr;seqinr;reshape2;Biostrings;zoo;spider;proxy;traits;knitr;rmarkdown;
1779,archivist2,pbiecek,archivist2,,RSQLite;DBI;shiny;lubridate;archivist;knitr;RCurl;digest;httr;
1780,mra.ta,benja0x40,MRA.TA,,methods;stringr;getopt;plotrix;Biostrings;GenomicRanges;methods;stringr;getopt;plotrix;Biostrings;GenomicRanges;
1781,ffeb,fjuniorr,ffeb,,
1782,dose,GuangchuangYu,DOSE,,methods;plyr;qvalue;stats4;AnnotationDbi;DO.db;igraph;scales;reshape2;graphics;GOSemSim;grid;ggplot2;org.Hs.eg.db;clusterProfiler;knitr;BiocStyle;
1783,mzannotation,jasenfinch,mzAnnotation,,Rcpp;Rcpp;Hmisc;plyr;shiny;rcdk;mzR;OrbiFIEproc;CAMERA;
1784,scanstatistics,BenjaK,scanstatistics,,data.table;foreach;magrittr;knitr;testthat;sets;tidyr;reshape2;plyr;doParallel;lubridate;
1785,spatstat,spatstat,spatstat,,stats;graphics;grDevices;utils;methods;nlme;mgcv;Matrix;deldir;abind;tensor;polyclip;goftest;sm;maptools;gsl;locfit;spatial;rpanel;tkrplot;RandomFields;
1786,learndc,benjaminrobinson,LearnDC,,
1787,zwolle,arcvetkovic,zwolle,,magrittr;
1788,bbref,dchiu911,bbref,,
1789,agroecotradeoff,PrincetonUniversity,agroEcoTradeoff,,raster;rgdal;lmisc;data.table;RColorBrewer;dtraster;raster;rgdal;lmisc;data.table;RColorBrewer;dtraster;
1790,agroecotradeoff,marcusspiegel,agroEcoTradeoff,,raster;rgdal;lmisc;data.table;RColorBrewer;raster;rgdal;lmisc;data.table;RColorBrewer;
1791,metabayes,mjskay,metabayes,,testthat;tidybayes;runjags;rstan;
1792,mplot,garthtarr,mplot,,knitr;mvoutlier;leaps;foreach;parallel;bestglm;doParallel;plyr;shinydashboard;shiny;glmnet;graphics;stats;googleVis;
1793,mplot,melff,mplot,,memisc;grid;lattice;latticeExtra;mtable;
1794,tricky,blaquans,tricky,,stringr;lubridate;ggplot2;dplyr;grid;scales;testthat;
1795,seqlm,raivokolde,seqlm,,foreach;reshape2;ggplot2;Matrix;GenomicRanges;IRanges;S4Vectors;
1796,contentstructure,matthewjdenny,ContentStructure,,coda;gplots;grid;Rcpp;slam;vegan;stringr;BH;Rcpp;RcppArmadillo;
1797,tabler,adletaw,tabler,,knitr;
1798,tabler,kbrevoort,tabler,,
1799,summarytools,dcomtois,summarytools,,htmltools;Hmisc;methods;pryr;pander;xtable;rapportools;rstudioapi;utils;matrixStats;
1800,pprrfa,martindurocher,pprRFA,,mgcv;evd;nsRFA;
1801,saostools,saos-apps,saosTools,,saos;knitr;testthat;
1802,tabloidyzer,eRkaKrakow,Tabloidyzer,,shiny;googlesheets;dplyr;
1803,jmotif,jMotif,jmotif-R,,Rcpp;stats;testthat;Rcpp;RcppArmadillo;
1804,isctools,machow,isctools,,lavaan;plyr;reshape;boot;semTools;
1805,spatial.tools,azvoleff,spatial.tools,,parallel;iterators;foreach;rgdal;raster;mmap;abind;doParallel;compiler;
1806,rqicm,MartinRoth,rqIcm,,Rcpp;Rcpp;
1807,localhillclimbing,eugene-choe,localhillclimbing,,xtable;
1808,rgithubapi,HenrikBengtsson,RGitHubAPI,,R.methodsS3;R.oo;httr;jsonlite;
1809,geoplus,Nowosad,geoplus,,sp;raster;rgeos;tidyr;stringr;dismo;ggplot2;gstat;rgdal;
1810,meteodatabayern,ecor,MeteoDataBayern,,XML;RSMET;rvest;sp;reshape2;stringr;stringi;
1811,poptrend,jknape,poptrend,,mgcv;
1812,rbsperformance,mbask,RBSperformance,,
1813,travis,jeroenooms,travis,,openssl;jsonlite;curl;testthat;knitr;
1814,travis,lzcyzm,Travis,,Rsamtools;GenomicFeatures;rtracklayer;GenomicAlignments;IRanges;GenomicRanges;ggplot2;Rsamtools;GenomicFeatures;rtracklayer;GenomicAlignments;IRanges;GenomicRanges;ggplot2;
1815,travis,lzcyzm,Travis_Dev,,Rsamtools;GenomicFeatures;rtracklayer;GenomicAlignments;IRanges;GenomicRanges;ggplot2;Rsamtools;GenomicFeatures;rtracklayer;GenomicAlignments;IRanges;GenomicRanges;ggplot2;
1816,mfdbatlantis,mareframe,mfdbatlantis,,ncdf4;XML;logging;unittest;
1817,smallcageqc,charles-plessy,smallCAGEqc,,edgeR;gdata;ggplot2;grid;magrittr;plyr;reshape;VennDiagram;knitr;
1818,ryouready,markheckmann,ryouready,,stats;graphics;ggplot2;stringr;car;
1819,gtm,locklin,gtm,,proxy;kohonen;
1820,dataviskaraufbereiten,tinu-schneider,DataVisKARaufbereiten,,readxl;dplyr;testthat;
1821,neracooscrawler,btupper,neracooscrawler,,methods;threddscrawler;
1822,ccpaper,rmflight,ccPaper,,categoryComparePaper;limma;ggplot2;knitr;GEOquery;ALL;RCytoscapes;
1823,disperse,laurasoul,dispeRse,,ape;Claddis;geiger;
1824,tdsm,prpatil,tdsm,,rpart;pROC;knitr;rmarkdown;knitrBootstrap;rattle;httr;htmlwidgets;rjson;diffr;knitr;
1825,conjointchecks,ben-domingue,ConjointChecks,,parallel;methods;snow;Rmpi;Rcpp;Rcpp;
1826,candy,jennybc,candy,,
1827,msbwaiter,UCSF-MSLAB,msbwaiter,,httr;jsonlite;testthat;
1828,bdvis,vijaybarve,bdvis,,maps;plotrix;sqldf;plyr;taxize;treemap;ggplot2;grid;lattice;chron;leafletR;rinat;
1829,rtumblr,fcocquemas,rtumblr,,
1830,inextpd,JohnsonHsieh,iNextPD,,ade4;ggplot2;
1831,landscapeanalysis,ktaylora,landscapeAnalysis,,
1832,rskittlebrewer,alyssafrazee,RSkittleBrewer,,knitr;
1833,inzightplots,iNZightVIT,iNZightPlots,,grid;boot;s20x;survey;quantreg;SparseM;hexbin;iNZightMR;iNZight;
1834,hextri,tslumley,hextri,,hexbin;graphics;FNN;
1835,spocc,ropensci,spocc,,utils;methods;stats;rgbif;rbison;rebird;rvertnet;ridigbio;lubridate;httr;whisker;V8;jsonlite;data.table;testthat;knitr;taxize;
1836,intergraph,mbojan,intergraph,,network;igraph;utils;testthat;roxygen2;knitr;
1837,cusdpackage,Sbrunste,CUSD,,
1838,readcmip5,zedzulkafli,ReadCMIP5,,RNetCDF;zoo;PCICt;SDMTools;sp;ncdf;gstat;
1839,uscensus2010blocks,ejanalysis,UScensus2010blocks,,
1840,rmixpanel,7factory,RMixpanel,,digest;jsonlite;uuid;RCurl;
1841,strmr,mtmorgan,strmr,,magrittr;snow;BiocStyle;knitr;rmarkdown;
1842,shinybi,jangorecki,shinyBI,,data.table;shiny;rCharts;plyr;markdown;
1843,laycppm,thelayc,laycPpm,,
1844,icots2014,dtkaplan,ICOTS-2014,,mosaic;MASS;
1845,semnet,kasperwelbers,semnet,,plyr;zoo;wordcloud;scales;tm;slam;igraph;Matrix;
1846,gtf,jokergoo,GTF,,rjson;GetoptLong;IRanges;methods;parallel;
1847,subscript,stevencarlislewalker,subscript,,ape;MASS;
1848,testthatsomemore,robertzk,testthatsomemore,,testthat;crayon;
1849,dpcr,michbur,dpcR,,methods;binom;chipPCR;e1071;dgof;multcomp;qpcR;pracma;rateratio.test;readxl;signal;shiny;spatstat;DT;ggplot2;knitr;markdown;shinythemes;xtable;
1850,sqlr,cttobin,sqlr,,
1851,f2cp,wrathematics,f2cp,,
1852,gamcopula,tvatter,gamCopula,,graphics;stats;utils;VineCopula;mgcv;MASS;gsl;numDeriv;methods;copula;igraph;parallel;foreach;doParallel;
1853,argostools,ahasverus,argostools,,DBI;RPostgreSQL;XLConnect;adehabitatHR;dismo;sp;raster;rgdal;rJava;
1854,shinybs,ebailey78,shinyBS,,shiny;htmltools;
1855,gcoderopt,greentheo,GCodeOpt,,zoo;dplyr;TSP;ggplot2;
1856,aqua,GuangchuangYu,aqua,,IRanges;GenomicRanges;ggplot2;ChIPseeker;clusterProfiler;ReactomePA;DOSE;GOSemSim;knitr;
1857,kongra,kongra,kongRa,,data.table;pryr;microbenchmark;Rcpp;Rcpp;
1858,smumisc,smu,smumisc,,stringr;testthat;ncdf;
1859,energyr,paulgovan,energyr,,
1860,gpclassifier,JimSkinner,gpclassifier,,methods;optimx;memoise;kernlab;functional;
1861,rivsurveyr,jasonfischer,rivSurveyR,,R.matlab;R.utils;caTools;data.table;lattice;latticeExtra;gstat;sp;knitr;
1862,mleda,dpmartin42,mleda,,ggplot2;dplyr;lme4;grid;gridExtra;party;randomForest;reshape;
1863,methodevaluation,OHDSI,MethodEvaluation,,DatabaseConnector;PatientLevelPrediction;Cyclops;bit;ff;ffbase;RJDBC;SqlRender;pROC;CohortMethod;testthat;OhdsiRTools;
1864,medalplot,andrewzm,medalplot,,knitr;ggplot2;plyr;ellipse;Matrix;
1865,rodprot,QBRC,RODProt,,rjson;httr;digest;RCurl;methods;
1866,raqui,dfalbel,raqui,,rPython;knitr;
1867,rowcolmacros,vapniks,rowcol_macros,,gtools;
1868,linkprediction,complexly,linkprediction,,igraph;
1869,linkprediction,mbojan,linkprediction,,igraph;intergraph;testthat;
1870,docplyr,ropensci,docplyr,,httr;magrittr;solr;elastic;sofa;rmongodb;roxygen2;
1871,convenientfunctions,jianjinucdavis,convenientFunctions,,
1872,googlevis,google-code-export,google-motion-charts-with-r,,methods;RJSONIO;utils;shiny;httpuv;
1873,googlevis,mages,googleVis,,methods;RJSONIO;utils;shiny;httpuv;knitr;
1874,googlevis,shhubhamsharma,google-motion-charts-with-r,,methods;RJSONIO;utils;shiny;httpuv;
1875,googlevis,tectronics,google-motion-charts-with-r,,methods;RJSONIO;utils;shiny;httpuv;
1876,googlevis,tush1r,google-motion-charts-with-r,,methods;RJSONIO;utils;shiny;httpuv;
1877,googlevis,ululalbab,google-motion-charts-with-r,,methods;RJSONIO;utils;shiny;httpuv;
1878,grcscripts2,ibest,grcScripts2,,optparse;parallel;
1879,rnassqs,potterzot,rnassqs,,httr;jsonlite;testthat;
1880,bpest,sylvainforet,Bpest,,
1881,a3,scottfr,A3,,xtable;pbapply;randomForest;e1071;
1882,reporters,davidgohel,ReporteRs,,ReporteRsjars;grDevices;rJava;utils;rvg;xml2;gdtools;png;R.utils;ggplot2;jpeg;bmp;testthat;
1883,sitar,statist7,sitar,,nlme;splines;quantreg;
1884,dsbaseclient,datashield,dsBaseClient,,opal;fields;
1885,benstools,cabajgtr,benstools,,RODBC;
1886,enddat,USGS-R,rEnddat,,XML;RCurl;
1887,agritrend,drtagkim,AgriTrend,,dplyr;stringr;xlsx;foreach;knitr;
1888,fullsniplings,eriqande,fullsniplings,,testthat;knitr;Rcpp;Rcpp;
1889,svoccr,luca-marotta,svoccr,,igraph;plyr;
1890,myfxbook,DataWookie,myfxbook-for-R,,
1891,prismaticr,Btibert3,prismaticR,,methods;httr;RCurl;rvest;
1892,dupchecker,shengqh,DupChecker,,tools;R.utils;RCurl;knitr;
1893,focusmapr,SENSUM-project,focusmapr,,rgdal;raster;spatstat;
1894,vipor,sherrillmix,vipor,,stats;graphics;testthat;beeswarm;lattice;ggplot2;beanplot;vioplot;
1895,shotsignr,timelyportfolio,shotsignR,,htmlwidgets;testthat;
1896,rhamr,YoJimboDurant,rHamr,,plyr;ggplot2;stringr;RCurl;lubridate;XML;plyr;ggplot2;stringr;RCurl;XML;lubridate;
1897,seqtools,DavisBrian,seqtools,,logistf;testthat;
1898,seqtools,Santaris,seqtools,,Biostrings;parallel;
1899,sassyr,dmuenz,sassyr,,Rcpp;Rcpp;
1900,fastvar,jeffwong,fastVAR,,glmnet;RcppEigen;Rcpp;parallel;glasso;Rcpp;RcppEigen;
1901,smoothratio,khughitt,smooth.ratio,,Rcpp;ggplot2;matrixcalc;reshape2;signal;Rcpp;locfit;
1902,geoutil,homeaway,geoutil,,dplyr;ggmap;data.table;leaflet;
1903,pacmandependencies,trinker,pacmanDependencies,,pacman;qdapTools;igraph;
1904,rbunyan,joyent,Rbunyan,,RJSONIO;
1905,contrib,psolymos,contrib,,
1906,anatools,lshen1,anatools,,ggplot2;survival;data.table;gridExtra;Hmisc;limma;mclust;plyr;knitr;rmarkdown;knitrBootstrap;NMF;RColorBrewer;
1907,rtsetse,AndySouth,rtsetse,,sp;raster;plyr;dplyr;abind;reshape2;ggplot2;rmarkdown;testthat;knitr;RColorBrewer;
1908,standardize,garrettgman,centering,,testthat;
1909,imisc,ikkyle,Imisc,,RPushbullet;beepr;DBI;RSQLite;
1910,imisc,ilia-kats,imisc,,graphics;grDevices;rlist;beeswarm;IRanges;vioplot;
1911,gvc,bquast,gvc,,decompr;diagonals;testthat;knitr;
1912,swift,mtmorgan,swift,,httr;RCurl;
1913,latent,wrbrooks,latent,,
1914,behrensrjags,jmlong94,BehrensRJags,,R2jags;
1915,fptp2av,danielmarcelino,FPTP2AV,,data.table;SciencesPo;
1916,gaston,haroine,gaston,,testthat;
1917,additivitytests,simecek,additivityTests,,knitr;
1918,rbrowsercookies,duncantl,RBrowserCookies,,RSQLite;RCurl;
1919,greengenes13.5mgdb,HCBravoLab,greengenes13.5MgDb,,metagenomeFeatures;
1920,microbiomics,tvatanen,microbiomics,,pspearman;magrittr;stringr;
1921,researchscripts,zarquon42b,RResScripts,,ggplot2;grid;Momocs;Morpho;XML;kerndwd;Rcpp;RcppArmadillo;
1922,simph,christophergandrud,simPH,,data.table;dplyr;ggplot2;gridExtra;lazyeval;MASS;mgcv;stringr;survival;quadprog;knitr;rio;stats;
1923,rcmdchecktools,HenrikBengtsson,RCmdCheckTools,,tools;R.rsp;
1924,nntbiomarker,professorbeautiful,NNTbiomarkerHome,,shiny;xtable;stringr;magrittr;mvbutils;testthat;knitr;rmarkdown;ggplot2;plyr;
1925,thefu,jakob-r,thefu,,BBmisc;stringr;checkmate;
1926,jpmesh,uribo,jpmesh,,
1927,cachemeifyoucan,robertzk,cachemeifyoucan,,berdie;RPostgres;digest;DBI;plyr;dbtest;knitr;testthatsomemore;batchman;
1928,qgraph,SachaEpskamp,qgraph,,RSVGTipsDevice;sendplot;psych;ellipse;lavaan;sem;plyr;Hmisc;igraph;jpeg;png;colorspace;Matrix;sna;corpcor;reshape2;ggplot2;glasso;huge;fdrtool;d3Network;ggm;gtools;
1929,svmfortopic,AKLLaursen,svmfortopic,,magrittr;rvest;dplyr;broom;XML;lazyeval;ggplot2;e1071;tseries;gridExtra;xtable;rugarch;parallel;
1930,somepackage,kirillseva,somepackage,,stringr;knitr;microbenchmark;testthat;
1931,rgenerateprec,ecor,RGENERATEPREC,,copula;RGENERATE;blockmatrix;Matrix;stringr;RMAWGEN;
1932,sims4,OJWatson,sims4,,ape;ade4;ggplot2;grid;gridExtra;Matrix;phyclust;seqinr;XML;
1933,tinnr,jcfaria,TinnR,,
1934,pilr.fulcrum.r,erikriverson,pilr.fulcrum.r,,pilr.api.r;uuid;ggvis;
1935,rampath,johnnyzhz,RAMpath,,lavaan;ellipse;
1936,voiwoodland,wkmor1,voiWoodland,,earth;knitr;tikzDevice;
1937,roxypackage,saurfang,roxyPackage,,methods;roxygen2;XiMpLe;testthat;tools;
1938,roxypackage,unDocUMeantIt,roxyPackage,,methods;roxygen2;XiMpLe;testthat;tools;
1939,chadwick,cpsievert,chadwick,,dplyr;
1940,svgcomposer,mslegrand,svgcomposeR,,data.table;XML;stringr;shiny;
1941,nicheapport,MarioJose,nicheApport,,parallel;methods;graphics;knitr;
1942,rlms,bdemeshev,rlms,,stringr;foreign;haven;dplyr;sjmisc;
1943,shinyga,MarkEdmondson1234,shinyga,,httr;shiny;shinydashboard;stringr;Rcpp;jsonlite;
1944,hmvregression,pdhoff,hmvregression,,knitr;
1945,sdeassignment,SDEassignment,SDEpackage,,devtools;
1946,episim,raldulai,Episim,,XLConnect;XLConnectJars;knitr;
1947,simrr,mblanche,simrR,,Rsamtools;GenomicFeatures;parallel;rtracklayer;edgeR;
1948,tarifx,gsk3,taRifx,,xtable;grid;lattice;caTools;pspline;ggplot2;gdata;RSQLite;data.table;stringr;reshape2;plyr;
1949,censoseco2014,loerasg,GitR,,sampling;
1950,utility.forecast,IlanaL1,utility.forecast,,
1951,juno,noamross,juno,,jsonlite;stringi;yaml;rstudioapi;knitr;rmarkdown;
1952,muadc,crazybilly,muadc,,dplyr;magrittr;lazyeval;ggthemr;
1953,numbr,tomhopper,numbr,,
1954,qcmetrics,lgatto,qcmetrics,,Biobase;methods;knitr;tools;Nozzle.R1;xtable;pander;S4Vectors;affy;MSnbase;ggplot2;lattice;yaqcaffy;MAQCsubsetAFX;RforProteomics;AnnotationDbi;mzR;hgu133plus2cdf;BiocStyle;
1955,qwraps,dewittpe,qwraps,,ggplot2;reshape2;
1956,lava.nlin,kkholst,lava.nlin,,Rcpp;RcppArmadillo;numDeriv;lava;coda;survival;Rcpp;RcppArmadillo;
1957,ts.data.frame,GrayAlex49,ts.data.frame,,
1958,timetraveler,maelick,timetraveleR,,igraph;
1959,pkgconfig,gaborcsardi,pkgconfig,,utils;testthat;disposables;
1960,enpls,road2stat,enpls,,pls;foreach;doParallel;knitr;
1961,trader,pavel-fibich,TRADER,,dplR;
1962,spdynmod,javimarlop,spdynmod,,deSolve;animation;raster;sp;knitr;roxygen2;igraph;testthat;
1963,mocap,ja-thomas,MoCap,,rjson;data.table;
1964,harlem,mrpozzi,HARLEM,,survival;copula;parallel;
1965,dygraphs,rstudio,dygraphs,,magrittr;htmlwidgets;zoo;xts;testthat;rmarkdown;shiny;
1966,hierarchicalboosting,marcpybus,hierarchicalBoosting,,mboost;corpora;gridExtra;knitr;
1967,eimargsodtools,environmentalinformatics-marburg,eimarGsodTools,,rgdal;raster;rworldmap;sp;gmt;EcoHydRology;dplyr;zoo;foreach;Rssa;scales;reshape2;plyr;RColorBrewer;ggplot2;
1968,pbh5,PacificBiosciences,R-pbh5,,h5r;methods;utils;methods;IRanges;
