pkgName,Repo,ExtDependencies
enrichedranges,leekgroup/enrichedRanges,GenomicRanges
cerberus,peterhurford/cerberus,stringr;paris;batbelt;devtools
beachball,abarbour/beachball,tools;grid;Rcpp;ReadImages;lattice;raster;png
sglr,bnaras/sglr,ggplot2;shiny;Cairo;sglr
aflpsim,fbalao/AFLPsim,adegenet;introgress
imartools,enriqueramos/imaRtools,xlsx;xlsxjars;rJava
mypackage,michciek/Homework6,Rcpp
hnp,rafamoral/hnp,MASS
statintcov,schaarschmidt/statintcov,ggplot2;mratios;multcomp
mapdk,sebastianbarfort/mapDK,ggplot2;stringi
zebr,Ironholds/zebr,httr
pastebinapi,troyhill/Pastebin-API,RCurl
mc.glmnet,jandziak/mc.glmnet,glmnet;parallel;GeneNet
datastructures,Rexamine/DataStructures,Rcpp;testthat
htmltools,FourchettesDeInterActive/htmltools,digest;testthat;base64enc;htmltools;markdown;utils
coffeewheel,armish/coffeewheel,htmlwidgets
balanceit,Huade/BalanceIt,ggplot2
ecobayesirt,stevencarlislewalker/ecoBayesIRT,logspline;plyr;MCMCpack;coda;abind
csl,ropensci/csl,httr;XML
ramlegacy,seananderson/ramlegacy,dplyr;downloader
trainmet,hredestig/trainmet,Biobase;org.At.tair.db;pls
matrixstats,david78k/mstats,methods
excercise7,katieromanenko/Excercise7,Excercise7;testthat
ngstoolboxbase,jokergoo/NGSToolboxBase,GenomicRanges;GenomeInfoDb;RColorBrewer;GetoptLong;parallel;circlize;GenomicFeatures
gptseties,xiaoyulu2014/GPtseries,base;foreach;doParallel
pieroutil,kozo2/PIEROutil,hash;SPARQL
sanitizers,wertion/testub,sanitizers
elife,ropensci/elife,;plyr;httr;RCurl;RJSONIO;stringr;XML
readpir,zoltankovacs/readPir,plyr
hysteresis,spencerm89/hysteresis6,msm;MASS;car
xlsxboost,mananshah99/xlsxboost,xlsx;rJava
lmeresampler,aloy/lmeresampler,mlmRev;WWGbook;nlmeU;HLMdiag;roxygen;lme4;boot;RLRsim;nlme
rmarc,PasiAhopelto/rmarc,;rmarc;testthat
maps,zhangh12/MAPS,survey;Formula;metafor;mvtnorm
treebgg,jaehyeon-kim/treebgg,rpart;parallel;foreach;treebgg;testthat;doParallel
effsize,mtorchiano/effsize,tools;car;effsize
hpgltools,elsayed-lab/hpgltools,hpgltools;cbcbSEQ;testthat;devtools
shinymenus,ebailey78/shinyMenus,htmltools;shiny;shinyBS;shinyMenus
esparkcolors,eSpark/esparkcolors,RColorBrewer
retrosheet,rmscriven/retrosheet,RCurl;stringi;XML;data.table
alfq,aLFQ/aLFQ,caret;aLFQ;plyr;lattice;limma;randomForest;testthat;ROCR;protiq;data.table;seqinr;reshape2
austin,conjugateprior/austin-scratch,irlba;Matrix;numDeriv
binner,plantarum/binner,gWidgets;abind;data.table;seqinr;caTools
datamos,bdemeshev/datamos,jsonlite;RCurl
funwithtwitter,omaromeir/stat545-funWithTwitter,funWithTwitter;RCurl;httr;assertthat;plyr;testthat
omekar,lmullen/omekaR,stringr;httr;jsonlite
choroplethradmin1,trulia/choroplethrAdmin1,ggplot2
vintager,tomasgreif/vintager,plyr;WriteXLS;ggplot2;reshape2;sqldf
rdir,trinker/rdir,staticdocs;devtools
rgoogledocs,duncantl/RGoogleDocs,methods;RGoogleDocs;XML;RCurl
soma,jonclayden/soma,reportr
prepre,vr-vr/prepre,zoo;shiny;data.table
epiphylo,Hackout2/epiphylo,pegas;ape;OutbreakTools
rfcvquery,lacombe-vigne/rfcvquery,DBI
pcurve,s-u/pcurve,vegan;MASS;modreg;mva;mgcv;stats
repfdr,shay-y/repfdr,splines
rprogressbar,giupo/rprogressbar,methods;tcltk
boosttest,kbenoit/boostTest,Rcpp
zendeskr,JPsiData/zendeskM,rjson;RCurl
rnmf,RandomSeeds/rNMF,nnls;knitr
zwolle,arcvetkovic/zwolle,magrittr
geomorph,butterflyology/geomorph,rgl;geiger;ape;jpeg;phytools
xlincconv,tgraf0/xlincConv,stats
gameday,spencerfrei/gameday,assertthat;RCurl;dplyr;testthat;gameday
dplyrnetezza,chappers/dplyrNetezza,dplyr;DBI;assertthat;RJDBC
forestr,andeek/forestr,tidyr;dplyr;rpart;RCurl
spliceclust,pkimes/spliceclust,GenomicRanges;grid;IRanges;ggbio;ggplot2;reshape2;GGally
rcdpackage,kurtharriger/rcdpackage,rmarkdown
gridpoints,geotheory/gridPoints,fields;gridExtra;plyr;clue;ggplot2
cluster,pimentel/cluster,MASS;cluster;graphics;grDevices;utils;stats
seedmc,fjia/SEEDMC,MplusAutomation;testthat;SEEDMC
misc,couthcommander/misc,misc;testthat
rpsql,itsamiths/RPSQL,methods;DBI;rJava
sbtscripts,sbtseiji/R-packages,MASS;ggm
lda,slycoder/R-lda-deprecated,Matrix;lda;nnet;penalized
rghost,good-marketing/RGhost,shinyAce;tools;rCharts;shiny;httr;shinyStore;rlist;RGhost;ggplot2;knitr;shinybootstrap2;shinyFiles;shinyBS;jsonlite;rmarkdown
warppipe,seankross/warppipe,stringr;dplyr;warppipe
mutationsplotter,boyangzhao/mutationsplotter,biomaRt;XML;RCurl
rspotify,taddallas/rSpotify,jsonlite;RCurl;igraph;d3Network;devtools
localhillclimbing,eugene-choe/localhillclimbing,scatterplot3d;xtable
latticedensity,RonBarry/latticeDensity,latticeDensity;splancs;spatstat;spam;spdep
mowattrselection,MarcinCz/attribute-selection-wrappers,cvTools;e1071;class
dcs,tchakravarty/DCS,Rcpp
daggrforest,shubhobm/daggrForest,randomForest
defer,lbartnik/defer,collection;proto;Rserve;RSclient;plyr;dplyr;lazyeval;testthat;defer;magrittr;devtools
regularity,martineastwood/Regularity,magrittr;Regularity;testthat
deming,stla/Deming,dplyr;Deming;ggplot2;abind;data.table;magrittr;rjags
csci,SCCWRP/CSCI,;plyr;randomForest;testthat;BMIMetrics;ggplot2;methods;reshape2
einstein,melff/einstein,partitions;einstein
kmc,yfyang86/kmc,emplik;compiler;rootSolve
stat622,mattdelhey/stat622,ggplot2;testthat
emisr,ldbk/EMISR,RCurl;rasterVis;maptools;downloader;mapdata;ggplot2;sp;XML;latticeExtra;rgdal;wq;raster;EMISR
rvisutils,smach/rivsutils,corrplot
ordijuice,zdealveindy/ordijuice,rgl;tkrgl;vegan;geometry;mgcv;tcltk
betas,andreaphsz/betas,robust
markovchaintaeseungkang,david78k/rtest,Rcpp;Matrix;parallel;testthat;igraph;ggplot2;stats4;microbenchmark;methods;matlab;recommenderlab;markovchain;expm
cranpkga,PeteHaitch/CRANpkgA,gam
sclero,MikkoVihtakari/sclero,RImageJROI;spatstat;plyr
installpackagetest,u4lli/InstallPackageTest,C50;jsonlite
qefficientfrontier,samuelpena/qEfficientFrontier,quadprog
openfda,leeper/openfda,httr;RJSONIO
phylodesign,olli0601/phylodesign,fields;ash;KernSmooth;phylodesign;RColorBrewer;ape;MASS;compiler;multicore;xtable;data.table;roxygen2;binom;Hmisc
sqlscorer,zachmayer/sqlscorer,;gbm;testthat;sqlscorer
lumberjack,bi0m3trics/lumberJack,spatstat
classyfire,eaHat/classyfire,ggplot2;boot;neldermead;e1071;snowfall;optimbase
modeltests,mdlincoln/modeltests,tidyr;dplyr
mediation,jordanbrace/mediation,shape;formula.tools
abcpack,xiaoyulu2014/ABCpack,MASS;doParallel;doSNOW;plyr
rdym,homerhanumat/Rdym2,Rdym;stringi
comppls,zdk123/compPLS,caret;kernlab;testthat;MASS;VGAM;klaR
snpcontam,eriqande/SNPcontam,tools;gridExtra;SNPcontam;stringr;Rcpp;fullsniplings;parallel;grid;gtools;ggplot2;gpiper;xtable;reshape2;knitr;rmarkdown
mcglobaloptim,thierrymoudiki/mcGlobaloptim,randtoolbox;utils;snow
music.as.network,abaghan/music.as.network,networkDynamic;igraph;ggplot2;rmarkdown;music.as.network;ndtv;rapport
acc.roxygen2,trinker/acc.roxygen2,staticdocs;reports;acc.roxygen2;qdap;roxygen2;highlight;devtools
lcycf,chengyu-liu-cs/lcyCF,caret;pamr;RColorBrewer;samr;kernlab;gplots;FSelector;igraph;Vennerable;ROCR;SPIA;NMF;affy;sqldf
rlms,bdemeshev/rlms,stringr;dplyr
omnir,caesar0301/omniR,dplyr;parallel;squash
ttip,trialsolution/comtrade_data,ggplot2;dplyr;reshape2;gdxrrw
breakthrough,hzhang2014/final,xlsx;Hmisc
syberiastages,FeiYeYe/syberiaStages,testthatsomemore;statsUtils;syberiaStructure;testthat;s3mpi;memoise;mungebits;stagerunner;devtools
capitalstocksflows,InfrastructureAnalytics/CapitalStocksFlows,ggplot2;dplyr;shiny;scales
gunr,tonyfujs/gunr,gridExtra;plyr;stringr;ggplot2;scales
qtlnet.prior,jeeyoungmoon0115/QTLnet.prior,qtlnet;msm
betfairly,vspinu/betfairly,SSOAP;RCurl;XMLSchema;XML;roxygen2;methods
npsmreg2,kloke/npsmReg2,npsm;hbrfit;devtools;Rfit
sdmxwrappers,jcizel/SDMXWrappers,pipeR;GeneralUtilities;RJSDMX;rlist;foreach;data.table;doParallel;devtools
trafic,gtlntw/TRAFIC,TRAFIC;testthat
sparkr,kigdert/SparkR-pkg,;svd;plyr;SparkR;Rcpp;Matrix;testthat;MASS;methods
isoweek,UweBlock/ISOweek,stringr;testthat;ISOweek
lttb,javiljoen/LTTB,ggplot2
newsfreq,hrbrmstr/newsfreq,V8;httr;dplyr;stringr;newsfreq;testthat;ggplot2;magrittr;scales;jsonlite
matchbox,marchion/matchBox,
qm,qmachine/qm-r,stringr;qm;httr;jsonlite
edamot,vspinu/R-edamot,nREPL;bencode
valuemomentum,eugene-choe/valuemomentum,xlsx;lubridate
doparallelspark,RevolutionAnalytics/doParallelSpark,SparkR;doParallelSpark;iterators;foreach;quickcheck
mocapprocessor,jonkeane/mocapProcessor,plyr;stringr;mocapProcessor;foreach;ggplot2;doMC;data.table;devtools
erbs,genomicsclass/ERBS,BSgenome.Hsapiens.UCSC.hg19;rtracklayer
shinysequin,jminnier/shinysequin,dplyr;ggplot2;tidyr;ggvis;reshape2
xtsextra,joshuaulrich/xtsExtra,xts;PerformanceAnalytics;quantmod;zoo;xtsExtra
esgtoolkit,thierrymoudiki/ESGtoolkit,gridExtra;Rcpp;CDVine;ggplot2;ycinterextra;reshape2;ESGtoolkit;fOptions
varclust,psobczyk/public_varclust,parallel;foreach;testthat;doMC;RcppEigen;varclust
sp,mdsumner/sp,tools;RColorBrewer;grid;dplyr;parallel;maptools;sp;spatstat;methods;graphics;rgdal;lattice;utils
zeligblme,bensoltoff/ZeligBLME,Zelig
vectordf,bdemeshev/vectordf,flexsurv;dplyr;mvtnorm
gofmeas,ilapros/GOFmeas,lmom;ellipse
refund.wave,refunders/refund.wave,;glmnet;ncvreg;wavethresh;MASS
anglercreelsurveysimulation,stevenranney/AnglerCreelSurveySimulation,ggplot2;grid
ggthemes,Mokubyow/RFtheme,proto;grid;plyr;ggthemes;colorspace;ggplot2;pander;knitr;reshape2;scales;extrafont;devtools
tabletree,skranz/TableTree,dplyr;yaml;restorepoint;data.table
weatherr,abrarwafa/weatherR,assertthat;RCurl;testthat;rjson;weatherR
rott,s-abbas/rott,dplyr;statmod;testthat;gtools;snowfall;rott
vulnpryr,SCH-CISM/vulnpryr,vulnpryr;testthat
gabsanir,RegisOB/GabSaniR,tools;RColorBrewer;plyr;stringr;reshape;openxlsx;ggplot2;knitr
getdnds,andymckenzie/evoDnDs,biomaRt
playground,simonmunzert/Playground,httr;jsonlite
reports,mmkiwi/KnitReports,printr;rmarkdown
mocknmoll,kos59125/Mock-n-Moll,MockNMoll;testthat
rrogue,GanGral/rrogue,stringr;dplyr;plyr
affydistance,coreymhudson/AffyDistance,gamlss;gcrma;limma;MASS;stats4
reghelper,jeff-hughes/reghelper,testthat;ggplot2;lme4;reghelper;nlme
snippr,dgrtwo/snippr,devtools;stringr;dplyr;httr;snippr;testthat;jsonlite
regexusa,trinker/regexusa,regexr;devtools
tigerdata,homerhanumat/tigerData,foreign;plyr
irtpp,jcliberatol/IRTpp,Rcpp;mvtnorm
sbgui,c5sire/sbgui,sbgui;testthat;rmarkdown
geomap,barryrowlingson/geomap,methods;raster
textable,DataMikeStats/TeXtable,stringr;testthat;lme4;TeXtable;lmerTest
ggfreehand,dgrtwo/ggfreehand,ggplot2;dplyr;proto
bbref,dchiu911/bbref,dplyr;magrittr;rvest;devtools
rpsql,itsamiths/ExtendedRPSQL,methods;DBI;rJava
npc,justindbk/NPC,dplyr;permute;matlab;coin
goarima,giantoak/goarima,forecast;stats
runemploymentdata,trulia/rUnemploymentData,choroplethr;stringr;rvest;testthat;rUnemploymentData
histdawass,Airpino/HistDAWass,FactoMineR;grid;histogram;ggplot2;class;graphics;methods
rsbiascomp,vjcitn/rsbiascomp,Biobase;seqc;cqn;BiocGenerics
configr,chendaniely/configR,stringr;testthat;stats
map3d,ngort01/map3d,rgl;methods;OpenStreetMap;map3d
haplotypetracker,philliplab/HaplotypeTracker,pvclust;shiny;HaplotypeTracker;digest;plyr;devtools;gplots;toolmania;ape;testthat;ggplot2;knitr;methods;reshape2;Biostrings;scales;entropy
rivertemp,Faskally/rtemp,fda;INLA;reshape;MASS;latticeExtra;lattice;markdown;mgcv;nlme;knitr
steamr,josegallegos07/steamR,RJSONIO;testthat;steamR;RCurl
trioconductor,syounkin/Trioconductor,;GenomicRanges;snpStats;ascii;methods;oligoClasses
dspckan,dspim/DSPCkan,ckanr;httr;svDialogs;magrittr;svGUI
sdcn,keepsimpler/sdcn,bipartite;plyr;deSolve;igraph;simecol;rootSolve;devtools
rgallery,xinchoubiology/RGallery,MASS;Rcpp;glmnet;knitr
connpass,dichika/connpass,jsonlite
testocpu2,moosilauke18/testOCPU2,ggplot2
sigma,jjallaire/sigma,sigma;htmlwidgets;shiny
rlerch,mdlerch/rlerch,Rcpp
qrmissing,liuminzhao/qrmissing,numDeriv;minqa;gtools;quantreg;rootSolve
qiimemap,anatolydryga/qiimeMap,qiimeMap;argparse;reshape2;testthat
ggspatial,dutri001/ggSpatial,ggplot2;tidyr;raster
gridheat,atofigh/gridheat,grid;scales;colorspace
singleannotationchooser,pcm32/AnnotationChooser,biomaRt;GO.db;data.table
bitify,viking/bitify,seewave;tuneR
apim.sem,LaraS/APIM.SEM,gdata;shiny;lavaan;MASS;psych;ppcor;methods;nlme;rtiff;foreign;Hmisc
parsimonious,lcallot/parsimonious,ggplot2;reshape2;glmnet
tacs,takenakayoichi/tacs,bnlearn;grid;testthat;ggplot2;animation;qgraph
dfunbind,krlmlr/dfunbind,dfunbind;testthat
rripeatlas,tlevine/rripeatlas,XML;RCurl
polyhedralaca,xbhsu/PolyhedralACA,MASS;adagio;nloptr
nrepl,vspinu/R-nREPL,evaluate;bencode
microsimr,andersgs/microsimr,ape;phyclust
factredux,biyka/factRedux,magrittr;factRedux
dbsim,jmcurran/dbSim,Rcpp
cawd,sfsheath/cawd,devtools;plyr;dplyr;maptools;curl;sp;spatstat;rgdal;jsonlite
ega,schmolze/ega,ggplot2
upipe,noamross/upipe,magrittr
ghdb,metacran/ghdb,httr;jsonlite
bfastspatial,mengluchu/bfastspatial2,stringr;bitops;parallel;igraph;doMC;gdalUtils;bfast;rgdal;raster
dwtools,jangorecki/dwtools,RODBC;digest;R6;shinyTree;RPostgreSQL;RMySQL;RSQLite;data.table;Rbitcoin;dwtools;devtools
ofet,95luyao/OFET,xlsx;MASS;ggplot2
precintcon,lucasvenez/precintcon,ggplot2;scales
resteasy,sckott/resteasy,httr;dplyr;jsonlite;base64enc
crlmm,benilton/crlmm,ellipse;parallel;foreach;Biobase;VGAM;lattice;crlmm;ff;BiocGenerics;SNPchip;affyio;stats;splines;genomewidesnp6Crlmm;RcppEigen;methods;oligoClasses;matrixStats;illuminaio;mvtnorm;preprocessCore;utils
rpyplot,mpastell/Rpyplot,grid;Rcpp;rstudioapi;png
polminer.shiny,PolMine/polmineR.shiny,shiny;Rserve;polmineR.graph;RSclient;polmineR;XML;methods
diceware,Kenkleinman/dicewaRe,random
pepstat,RGLab/pepStat,fields;GenomicRanges;tools;shiny;pepStat;plyr;grid;IRanges;limma;ggplot2;Biobase;pepDat;data.table;Pviz;methods
radshiny,benjh33/radshiny,;shiny
r.devices.rgl,HenrikBengtsson/R.devices.rgl,R.methodsS3;R.devices;R.oo;R.utils
r4atlantis,cddesja/R4Atlantis,rfishbase
linearclassifier,samanthajdalton/linearclassifier,foreach;doParallel;assertthat
simscores,Rasputank/Ovaltine2,shiny;assertthat;arm;stringr;dplyr;shinyapps;lme4;tidyr;ggplot2;lubridate;XML
ph525x,genomicsclass/ph525x,Homo.sapiens;grid;IRanges;S4Vectors;Biobase;Gviz;seqc;RNAseqData.HNRNPC.bam.chr14;ph525x;png
voter,robiRagan/voteR,Rcpp
segue2,zachmayer/segue2,;bitops;testthat;rJava;segue2;caTools
keggrest,Bioconductor/KEGGREST,httr;RUnit;KEGGREST;methods;Biostrings;png
chartist,yutannihilation/chartist,dplyr;htmlwidgets;testthat;plyr
bnpthesis,timkaye11/bnpThesis,ggplot2;dplyr;tidyr
verifyimpl,jmp75/verifyImpl,verifyImpl;lubridate;xts
laketemps,USGS-R/laketemps,;dplyr;reshape2
predixionapi,Predixion/predixionapi,digest;RCurl;stringr;rjson;jsonlite
tankr,peterschretlen/tankr,plyr;grid;dplyr;testthat;ggplot2;reshape2;scales
dermotspackage,zslastman/DermotsPackage,GenomicRanges;plyr;stringr;chipseq;dplyr;parallel;rtracklayer;testthat;BSgenome.Dmelanogaster.UCSC.dm3;ggplot2;tidyr;Rsamtools;data.table;magrittr;reshape2;Hmisc;knitr;pryr
toordinal,CenterForAssessment/toOrdinal,testthat
malick,MichaelMalick/r-malick,plyr;ncdf;MASS;lattice;reshape2;maps
jelen,tomjelen/r-package,Jelen;testthat;jsonlite
bnlearn,gasse/bnlearn-clone-3.4,graph;Rgraphviz;lattice;parallel;gRain;methods
vboccupancy,AllanClark/vboccupancy,MASS
bnlearn,jtrecenti/bnlearn,methods;bnlearn
typr,rappster/typr,digest;conditionr
poptrend,jknape/poptrend,mgcv
flowcatchr,federicomarini/flowcatchR-release,rgl;BiocParallel;shiny;colorRamps;abind;EBImage;methods
metasens,guido-s/metasens,meta
acp,mpiktas/acp,tseries
ufo,kurtis14/UFO,assertthat;plyr;stringr;dplyr;UFO;testthat;ggplot2;XML
microarraytools,bakuhatsu/microarray-tools,reshape;ggplot2;ath1121501cdf;ath1121501.db;scales
whisker.tools,decisionpatterns/whisker.tools,stringr;testthat;whisker;whisker.tools;utils
commandhelper,dtkaplan/CommandHelper,;shiny;stringr;dplyr;mosaicData
ocputests,rafaturtle/OCPUTests,SixSigma
usebioconductor,Bioconductor/UseBioconductor,BiocParallel;csaw;edgeR;SRAdb;Rsubread;Rsamtools;devtools
trajcoert01,rolandhub/trajcoert01,trajcoert01;testthat;adehabitatLT;trajectories;methods;spacetime;sp;move
rglm2,wrathematics/Rglm2,Rglm2;linmod;rbenchmark
extensions_lh,BaldMan1/Extensions_LH,rpart;shiny;RColorBrewer;rattle;plyr;dplyr;rpart.plot;randomForest;ggplot2;lubridate;party;magrittr;stats
listr,rappster/listr,stringr;reactr;conditionr
minipac,HenrikBengtsson/miniPac,R.utils
emuext,richardbeare/emuExt,lattice;emu
maboost,tofigh-/MaBoost,rpart;C50
evoplot,sp00nman/evoplot,ggplot2;grid
nhkg,dichika/NHKG,httr;rvest
acpackage,cenka/acpackage,Rcpp
filehashsqlite,rdpeng/filehashsqlite,RSQLite;DBI;filehash;filehashSQLite;methods
slfm,jdanielnd/slfm,Rcpp;coda
tracktables,ThomasCarroll/tracktables,GenomicRanges;RColorBrewer;stringr;IRanges;tractor.base;Rsamtools;XML;methods;XVector
pubmed.network,corybrunson/pubmed.network,parallel;snow;igraph;data.table;reshape2;R.utils
gameday,jordanbrace/gameday,RCurl
hpqtl2,simecek/HPQTL2,HPQTL2;regress;testthat;MASS;abind;qtl2;qtl
isinglenzmc,msuzen/isingLenzMC,isingLenzMC
eia,krose/eia,httr;magrittr;jsonlite
pilr.fulcrum.r,erikriverson/pilr.fulcrum.r,pilr.api.r;ggvis;uuid
linkprediction,complexly/linkprediction,igraph
aws.ec2,cloudyr/aws.ec2,httr;XML;aws.signature
padog,pacifly/PADOG,hgu133a.db;GSA;hgu133plus2.db;KEGGdzPathwaysGEO;AnnotationDbi;PADOG;limma;foreach;Biobase;doRNG;methods;KEGG.db;nlme
r6x,rappster/r6x,testthat;R6
jsurvformat,SophiaJia/Jsurvformat1.1,survival;survcomp;knitr;grid
genetime,vsoch/genetime,fields;MASS;pheatmap
ycinterextra,thierrymoudiki/ycinterextra,randtoolbox;compiler;mcGlobaloptim;graphics;methods
complainr,hilaryparker/complainr,explainr
rrho,zhilongjia/RRHO,grid;WGCNA;lattice;VennDiagram;RRHO
wat,skranz/wat,shinyAce;shiny;wat;RColorBrewer;stringtools;shinyEvents;shinyBS;hwriter
hclass,hstojic/hclass,assertthat
top10predict,AbhishekKapoor/top10,stats
lclass,rishi1226/lClass,mvtnorm;assertthat
refset,hughjonesd/refset,testthat
butler,IshmaelBelghazi/butleR,butleR;testthat
bayesteststreak,bayesball/BayesTestStreak,ggplot2;LearnBayes
granularity,lucasvenez/granularity,precintcon
heatmap3,stanstrup/heatmap3,;gtools
nwfscdiscards,nwfsc-assess/nwfscDiscards,nwfscDiscards
rwars,Ironholds/rwars,httr;testthat;rwars
svar,mattdelhey/svar,mAr;glmnet;parallel;testthat;doMC;vars
ebola.sitrep,muxspace/ebola.sitrep,lambda.tools;futile.logger;RCurl;httr;scrapeR;XML
nondetects,mccallm/nondetects2,Biobase;methods;HTqPCR;utils
mehalocoa,yguitton/MeHaloCoA,mzR;RMassBank;CAMERA;tcltk
personalityfacets,jeromyanglim/personalityfacets,bootstrap;hypergeo;boot
katexr,timelyportfolio/katexR,pipeR;rvest;htmlwidgets;katexR;htmltools;XML
etm,aallignol/etm,etm;Rcpp;data.table;survival;lattice
endnote2xls,KehaoWu/Endnote2XLS,stats
tftargets,slowkow/tftargets,GenomicRanges
videotrackr,swarm-lab/videotrackR,pipeR;pbapply;Rcpp;videoplayR;stats
magicvis,environmentalinformatics-marburg/magicVis,sp;latticeExtra;raster
roughsetknowledgereduction,albhasan/RoughSetKnowledgeReduction,methods
gfsr,gfs8966/gfsR,foreign;lubridate;plyr
pai,JWiley/pai,Rcpp;parallel;ggplot2;psych;pander;boot;RcppEigen;pai
chipexoqual,welch16/ChIPexoQual,GenomicRanges;rpart;RColorBrewer;hexbin;devtools;grid;S4Vectors;parallel;ggplot2;data.table;GenomicAlignments;scales;knitr
tyr,rmhorton/tyr,digest
influencegraph,skranz/InfluenceGraph,codetools;R6;dplyr;igraph;sktools;restorepoint
repgame,skranz/repgame,codetools;Rcpp;slam;gWidgets;rowmins;restorepoint;gWidgetstcltk;repgame;lattice;glpkAPI
zcompositions,Japal/zCompositions,NADA;MASS;truncnorm
tree.rules,mizin1/tree.rules,methods;rpart
meshsim,JingZhou2015/MeSHSim,XML;RCurl
ropenfisheries,OpenFisheries/ropenfisheries,
tudortool,acelasi7/RShinyTool,ggplot2;triangle
rr.correction,metno/rr.correction,rgdal;rr.correction;gstat
template,rOpenGov/template,template;devtools;dplyr;knitr;rmarkdown
bkkpr,Mullefa/bkkpr,dplyr;R6
rsound,yutannihilation/rsound,Rcpp;R6
gtrend,trinker/gtrend,dplyr;ggplot2;GTrendsR;qdapTools;scales;devtools
rldm,sgreenlee/rLDM,MASS
scalereduce,KristaLoose/ScaleReduce,psych;psy
mypack,cabralhenrique/R,RColorBrewer;stringr;ggplot2;psych;corrplot;reshape2;Hmisc;ptw
pborepo,abarbour/pborepo,pborepo;plyr;httr;corpcor;abind;zoo
testmsim,emunozh/testmsim,tidyr;dplyr
gameday,mi-lee/gameday,assertthat;RCurl;devtools;testthat;gameday;lubridate;knitr
sunshine,rundel/sunshine,timezone;lubridate;proj4
nmisc,nickwallen/nmisc,nmisc;digest;testthat;stashR
runispecdc,chrlaney/rUnispecDC,shiny;grid;RCurl;devtools;Rcpp;ggplot2;MASS;roxygen2;reshape2;mgcv;scales;knitr
gpmh,tom-jin/GPMH,grid
bioccheck,dtenenba/BiocCheck,tools;codetools;graph;testpkg0;codetoolsBioC;biocViews;httr;RJSONIO;knitr;BiocInstaller;methods;optparse;devtools
quantrosim,stephaniehicks/quantroSim,MASS;Biobase;minfi;quantro
mxmortalitydb,diegovalle/mxmortalitydb,testthat
adhdrs4calculator,OuhscBbmc/AdhdRS4Calculator,testit;dplyr;testthat;AdhdRS4Calculator;devtools
skewcalc,Ctross/SkewCalc,RColorBrewer;rstan;coda;bbmle;MASS
hillr,daijiang/hillR,FD;plyr
vizgraph,igraph/vizgraph,igraph
flagme,rromoli/flagme,CAMERA;SparseM;gplots;MASS;graphics;gcspikelite;methods;xcms;utils;stats
ikreporting,IlyaKipnis/IKReporting,TTR;digest;xts;PerformanceAnalytics
garvas,eyedvabny/GARVaS,GARVaS;foreach;doParallel;testthat
qaqc,bjw34032/qaqc,oro.dicom;oro.nifti;utils;hwriter
layccasynccheck,thelayc/layccaSyncCheck,stringr;dplyr;lubridate
cebn,clbustos/rcebn,psych;mvnmle
orthogonalsplinebasis,halpo/obsplines,methods;graphics;stats
figures2,gcicc/figures2,gridExtra;plyr;grid;stringr;scales;ggplot2;survival;reshape2;gtable;knitr
somepackage,kirillseva/somepackage,stringr
ggsnippets,johnDorian/ggsnippets,gridExtra;digest;grid;dplyr;testthat;ggplot2;ggsnippets;lubridate;reshape2;gtable;ggthemes
testocpu,moosilauke18/testOCPU,plyr
abc,c5sire/abc,abc;testthat
ruvcorr,PeteHaitch/RUVcorr,gridExtra;MASS;corrplot;lattice;grDevices;snowfall;stats
getsummary,paulmoto/getsummary,;stringr;igraph;NLP;openNLP
drwpclassgm,chunquanli/DRWPClassGM,RWeka;Matrix;igraph;samr
gameday,blacksde/gameday,assertthat;plyr;RCurl;testthat;gameday;ggplot2;ggthemes
opendocx,awalker89/opendocx,Rcpp;methods;opendocx
chainladder,google-code-export/chainladder,systemfit;rgl;RODBC;grid;statmod;lattice;Matrix;utils;MASS;actuar;rcom;ChainLadder;methods;reshape2;tweedie;Hmisc;stats
helloworld,dbetebenner/helloWorld,data.table
nimble,thirdwing/nimble,R2jags;Rcpp;testthat;igraph;nimble;methods;R2WinBUGS;rjags
cleanr,gdemin/cleanr,default.dataset;labelr;dplyr;lazyeval;magrittr;foreign
rvertnet2,Pika8tona/rvertnet2,plyr;httr;ggplot2;data.table;jsonlite;maps
poisdoublesamp,dkahle/poisDoubleSamp,Rcpp
cjustin.utils,JustinChu/cjustin.utils,cjustin.utils;assertthat;grid;dplyr;testthat;ggplot2
aws.cloudwatch,cloudyr/aws.cloudwatch,httr;XML;jsonlite;aws.signature
hudlapp,benjh33/nba-2014,caret;stringr;dplyr;pROC;htmlwidgets;ggplot2;htmltools;doMC;MASS;AppliedPredictiveModeling;bbscrapeR;reshape2;scales;ggd3
jsurvformat,SophiaJia/Jsurvformat1.0,survival;survcomp
open31114,tom-ipp/open31114,dplyr;open31114;testthat
lspm,joshuaulrich/LSPM,DEoptim
analyz,rbuhler/analyz,methods
collr2,kindlychung/collr2,mice;mvbutils;digest;collr2;rbed;stringr;dplyr;RCurl;manqq2;ggplot2;rbed2;txtutils;collr;scales;devtools
fdrpack,xiaoyulu2014/FDRpack,MASS
gameday,BernhardKonrad/gameday,gameday;testthat;RCurl
kfdnm,NMML/kfdnm,Rcpp;RcppArmadillo;kfdnm
gameday,abrarwafa/gameday,;gameday;testthat;RCurl
rbigpivot,mgencare/RBigPivot,shiny;stringr;base;utils;ggplot2;data.table;reshape2;sqldf
conford,zdealveindy/conford,vegan;weimea
